event,timestamp,mouse_x,mouse_y
MouseEvents.MOVE,1742458147.1809957,737,490
MouseEvents.MOVE,1742458147.1888232,694,496
MouseEvents.MOVE,1742458147.197523,650,502
MouseEvents.MOVE,1742458147.204293,607,504
MouseEvents.MOVE,1742458147.2126534,565,508
MouseEvents.MOVE,1742458147.2198553,527,509
MouseEvents.MOVE,1742458147.2274745,491,511
MouseEvents.MOVE,1742458147.234117,468,506
MouseEvents.MOVE,1742458147.242603,439,508
MouseEvents.MOVE,1742458147.249499,407,509
MouseEvents.MOVE,1742458147.257001,375,509
MouseEvents.MOVE,1742458147.2649016,350,507
MouseEvents.MOVE,1742458147.2718124,333,508
MouseEvents.MOVE,1742458147.280263,317,509
MouseEvents.MOVE,1742458147.288321,332,515
MouseEvents.MOVE,1742458147.2949505,349,523
MouseEvents.MOVE,1742458147.3018112,368,535
MouseEvents.MOVE,1742458147.3093789,271,510
MouseEvents.MOVE,1742458147.3166432,260,513
MouseEvents.MOVE,1742458147.323195,244,511
MouseEvents.MOVE,1742458147.3297403,236,515
MouseEvents.MOVE,1742458147.3374064,224,510
MouseEvents.MOVE,1742458147.3436794,218,514
MouseEvents.MOVE,1742458147.3514235,208,511
MouseEvents.MOVE,1742458147.3583763,205,515
MouseEvents.MOVE,1742458147.3661044,199,513
MouseEvents.MOVE,1742458147.3732748,196,513
MouseEvents.MOVE,1742458147.3807483,191,513
MouseEvents.MOVE,1742458147.3868763,190,511
MouseEvents.MOVE,1742458147.3946183,188,507
MouseEvents.MOVE,1742458147.4007835,185,502
MouseEvents.MOVE,1742458147.4087534,182,499
MouseEvents.MOVE,1742458147.414971,181,514
MouseEvents.MOVE,1742458147.4228098,179,527
MouseEvents.MOVE,1742458147.4290972,175,545
MouseEvents.MOVE,1742458147.4362612,173,490
MouseEvents.MOVE,1742458147.4429262,169,475
MouseEvents.MOVE,1742458147.4499102,165,467
MouseEvents.MOVE,1742458147.4576778,161,486
MouseEvents.MOVE,1742458147.464455,159,501
MouseEvents.MOVE,1742458147.4726472,156,515
MouseEvents.MOVE,1742458147.4788387,151,530
MouseEvents.MOVE,1742458147.4861302,165,403
MouseEvents.MOVE,1742458147.4929125,170,388
MouseEvents.MOVE,1742458147.4999325,172,371
MouseEvents.MOVE,1742458147.5078964,167,378
MouseEvents.MOVE,1742458147.5142307,164,380
MouseEvents.MOVE,1742458147.521329,188,348
MouseEvents.MOVE,1742458147.5283594,198,339
MouseEvents.MOVE,1742458147.5348697,215,328
